date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:02	1489/1489	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Aug%202024%2010:39:04%20GMT	https://star-cat-generator.vercel.app/robots.txt		(from )
17:39:02	12588/12588	---MCZ	200	added ('OK')	text/html	etag:W/%22cbbf8040946414205e41aaeedcef59ec%22	https://star-cat-generator.vercel.app/	D:/Download/muon/star-cat-generator.vercel.app/index.html	(from )
17:39:03	3591/3591	---MCZ	200	added ('OK')	text/css	etag:W/%22a2311ab568d7ecbf4dbcf45d5d21d44c%22	https://star-cat-generator.vercel.app/styles.css	D:/Download/muon/star-cat-generator.vercel.app/styles.css	(from https://star-cat-generator.vercel.app/)
17:39:04	198689/198689	---M-Z	200	added ('OK')	application/javascript	etag:%2261ec4640-b567%22	https://cdnjs.cloudflare.com/ajax/libs/html2canvas/1.4.1/html2canvas.min.js	D:/Download/muon/cdnjs.cloudflare.com/ajax/libs/html2canvas/1.4.1/html2canvas.min.js	(from https://star-cat-generator.vercel.app/)
17:39:04	823167/823167	---M--	200	added ('OK')	image/png	etag:%2290d3f5e040620422e15db4caace8910b%22	https://star-cat-generator.vercel.app/star%20catv2%20(1).png	D:/Download/muon/star-cat-generator.vercel.app/star%20catv2%20(1).png	(from https://star-cat-generator.vercel.app/)
17:39:04	6987/6987	---M--	200	added ('OK')	image/png	etag:%2234a1ced15288ac883623ef13c3c22be5%22	https://star-cat-generator.vercel.app/Empty.png	D:/Download/muon/star-cat-generator.vercel.app/Empty.png	(from https://star-cat-generator.vercel.app/)
17:39:05	814495/814495	---M--	200	added ('OK')	image/png	etag:%22bfba2a1b076ced6d380fe16172a72550%22	https://star-cat-generator.vercel.app/main.png	D:/Download/muon/star-cat-generator.vercel.app/main.png	(from https://star-cat-generator.vercel.app/)
17:39:05	41257/41257	---M--	200	added ('OK')	image/png	etag:%22289733628266b9842bbc4599da8bc64f%22	https://star-cat-generator.vercel.app/Forbidden%20button.png	D:/Download/muon/star-cat-generator.vercel.app/Forbidden%20button.png	(from https://star-cat-generator.vercel.app/)
17:39:06	2308917/2308917	---M--	200	added ('OK')	image/png	etag:%220cc1650934f38053cc8bbc771f6bb66b%22	https://star-cat-generator.vercel.app/accessories/bgs/Bg1.png	D:/Download/muon/star-cat-generator.vercel.app/accessories/bgs/Bg1.png	(from https://star-cat-generator.vercel.app/)
17:39:07	2763862/2763862	---M--	200	added ('OK')	image/png	etag:%22713284ac4e7ba0545b76fbf129c32454%22	https://star-cat-generator.vercel.app/accessories/bgs/Bg2.png	D:/Download/muon/star-cat-generator.vercel.app/accessories/bgs/Bg2.png	(from https://star-cat-generator.vercel.app/)
